,Year Built,Mas Vnr Type_BrkFace,Fireplace Qu,Exterior 2nd_VinylSd,MS Zoning_RL,MS Zoning_RM,Mas Vnr Area,Exterior 1st_VinylSd,Garage Yr Blt,Fireplaces,Mas Vnr Type_None
Year Built,1.0,0.2092077692145726,0.21038779740991098,0.45905681630791817,0.16977732978838328,-0.2925734366447395,0.30914936378703334,0.46740292505775377,0.8466377079772176,0.15321048077553867,-0.35215925084507066
Mas Vnr Type_BrkFace,0.2092077692145726,1.0,0.13840630360918577,0.07932796336809896,0.16282171160379189,-0.1374044504541783,0.7198524084483342,0.0727463029733131,0.13461004687407835,0.16555834870139785,-0.8082552788226507
Fireplace Qu,0.21038779740991098,0.13840630360918577,1.0,0.09799660215607071,0.17526329947135083,-0.15064004401957592,0.25489712510039897,0.09816561236419032,0.17121572576526178,0.819848458500217,-0.24270303304277543
Exterior 2nd_VinylSd,0.45905681630791817,0.07932796336809896,0.09799660215607071,1.0,0.11196308827956834,-0.1605184116118583,0.14507850021805874,0.977413438037582,0.4760738879642291,0.049400444283353585,-0.1801679938940047
MS Zoning_RL,0.16977732978838328,0.16282171160379189,0.17526329947135083,0.11196308827956834,1.0,-0.8016861703969733,0.1434842648994412,0.11597351423612279,0.07962995814015932,0.22151865138665594,-0.16934985858903773
MS Zoning_RM,-0.2925734366447395,-0.1374044504541783,-0.15064004401957592,-0.1605184116118583,-0.8016861703969733,1.0,-0.13830536731777232,-0.16168097423726385,-0.2181757321776638,-0.1861648048740894,0.16941824498909605
Mas Vnr Area,0.30914936378703334,0.7198524084483342,0.25489712510039897,0.14507850021805874,0.1434842648994412,-0.13830536731777232,1.0,0.1532858868688215,0.23943515706354793,0.24499093500121766,-0.8608830005044594
Exterior 1st_VinylSd,0.46740292505775377,0.0727463029733131,0.09816561236419032,0.977413438037582,0.11597351423612279,-0.16168097423726385,0.1532858868688215,1.0,0.48374253743424844,0.04621996846754846,-0.19000937707814947
Garage Yr Blt,0.8466377079772176,0.13461004687407835,0.17121572576526178,0.4760738879642291,0.07962995814015932,-0.2181757321776638,0.23943515706354793,0.48374253743424844,1.0,0.09163145462368653,-0.2783268112237778
Fireplaces,0.15321048077553867,0.16555834870139785,0.819848458500217,0.049400444283353585,0.22151865138665594,-0.1861648048740894,0.24499093500121766,0.04621996846754846,0.09163145462368653,1.0,-0.23973526581565263
Mas Vnr Type_None,-0.35215925084507066,-0.8082552788226507,-0.24270303304277543,-0.1801679938940047,-0.16934985858903773,0.16941824498909605,-0.8608830005044594,-0.19000937707814947,-0.2783268112237778,-0.23973526581565263,1.0
