Id,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice
109.0,533352170.0,60.0,RL,,13517.0,Pave,NA,3.0,Lvl,4.0,CulDSac,3.0,Sawyer,RRAe,Norm,1Fam,2Story,6.0,8.0,1976.0,2005.0,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,4.0,3.0,CBlock,3.0,3.0,1.0,6.0,533.0,1.0,0.0,192.0,725.0,GasA,5.0,1.0,5.0,725.0,754.0,0.0,1479.0,0.0,0.0,2.0,1.0,3.0,1.0,4.0,6.0,8.0,0.0,0.0,Attchd,1976.0,2.0,2.0,475.0,3.0,3.0,3.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,3.0,2010.0,WD ,130500.0
544.0,531379050.0,60.0,RL,43.0,11492.0,Pave,NA,3.0,Lvl,4.0,CulDSac,3.0,SawyerW,Norm,Norm,1Fam,2Story,7.0,5.0,1996.0,1997.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,4.0,3.0,PConc,4.0,3.0,1.0,6.0,637.0,1.0,0.0,276.0,913.0,GasA,5.0,1.0,5.0,913.0,1209.0,0.0,2122.0,1.0,0.0,2.0,1.0,4.0,1.0,4.0,8.0,8.0,1.0,3.0,Attchd,1997.0,2.0,2.0,559.0,3.0,3.0,3.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,4.0,2009.0,WD ,220000.0
153.0,535304180.0,20.0,RL,68.0,7922.0,Pave,NA,4.0,Lvl,4.0,Inside,3.0,NAmes,Norm,Norm,1Fam,1Story,5.0,7.0,1953.0,2007.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,3.0,4.0,CBlock,3.0,3.0,1.0,6.0,731.0,1.0,0.0,326.0,1057.0,GasA,3.0,1.0,5.0,1057.0,0.0,0.0,1057.0,1.0,0.0,1.0,0.0,3.0,1.0,4.0,5.0,8.0,0.0,0.0,Detchd,1953.0,1.0,1.0,246.0,3.0,3.0,3.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,1.0,2010.0,WD ,109000.0
318.0,916386060.0,60.0,RL,73.0,9802.0,Pave,NA,4.0,Lvl,4.0,Inside,3.0,Timber,Norm,Norm,1Fam,2Story,5.0,5.0,2006.0,2007.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,3.0,3.0,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,384.0,384.0,GasA,4.0,1.0,5.0,744.0,700.0,0.0,1444.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,7.0,8.0,0.0,0.0,BuiltIn,2007.0,3.0,2.0,400.0,3.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,4.0,2010.0,WD ,174000.0
255.0,906425045.0,50.0,RL,82.0,14235.0,Pave,NA,3.0,Lvl,4.0,Inside,3.0,SawyerW,Norm,Norm,1Fam,1.5Fin,6.0,8.0,1900.0,1993.0,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3.0,3.0,PConc,2.0,4.0,1.0,1.0,0.0,1.0,0.0,676.0,676.0,GasA,3.0,1.0,5.0,831.0,614.0,0.0,1445.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0,6.0,8.0,0.0,0.0,Detchd,1957.0,1.0,2.0,484.0,3.0,3.0,1.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,3.0,2010.0,WD ,138500.0
138.0,535126040.0,20.0,RL,137.0,16492.0,Pave,NA,3.0,Lvl,4.0,Corner,3.0,NAmes,PosA,Norm,1Fam,1Story,6.0,6.0,1966.0,2002.0,Gable,CompShg,BrkFace,Plywood,None,0.0,4.0,3.0,CBlock,3.0,3.0,1.0,5.0,247.0,3.0,713.0,557.0,1517.0,GasA,5.0,1.0,5.0,1888.0,0.0,0.0,1888.0,0.0,0.0,2.0,1.0,2.0,1.0,4.0,6.0,5.0,1.0,4.0,Attchd,1966.0,3.0,2.0,578.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,6.0,2010.0,WD ,190000.0
2827.0,908186070.0,180.0,RM,35.0,3675.0,Pave,NA,4.0,Lvl,4.0,Inside,3.0,Edwards,Norm,Norm,TwnhsE,SFoyer,6.0,5.0,2005.0,2006.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,3.0,3.0,PConc,4.0,3.0,4.0,6.0,547.0,1.0,0.0,0.0,547.0,GasA,4.0,1.0,5.0,1072.0,0.0,0.0,1072.0,1.0,0.0,2.0,0.0,2.0,1.0,3.0,5.0,8.0,0.0,0.0,Basment,2005.0,3.0,2.0,525.0,3.0,3.0,3.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,6.0,2006.0,New,140000.0
145.0,535154050.0,20.0,RL,,12160.0,Pave,NA,3.0,Lvl,4.0,Inside,3.0,NAmes,Norm,Norm,1Fam,1Story,5.0,5.0,1959.0,1959.0,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,3.0,3.0,CBlock,3.0,3.0,1.0,3.0,1000.0,1.0,0.0,188.0,1188.0,GasA,2.0,1.0,5.0,1188.0,0.0,0.0,1188.0,1.0,0.0,1.0,0.0,3.0,1.0,3.0,6.0,8.0,0.0,0.0,Attchd,1959.0,2.0,2.0,531.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,NA,0.0,5.0,2010.0,COD,142000.0
1942.0,535353130.0,20.0,RL,,15783.0,Pave,NA,4.0,Lvl,4.0,Inside,3.0,OldTown,Artery,Norm,1Fam,1Story,5.0,5.0,1952.0,1952.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3.0,3.0,CBlock,3.0,3.0,1.0,3.0,292.0,1.0,0.0,632.0,924.0,GasA,3.0,1.0,5.0,924.0,0.0,0.0,924.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,6.0,8.0,0.0,0.0,Detchd,1952.0,1.0,1.0,420.0,3.0,3.0,3.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,3.0,Shed,400.0,6.0,2007.0,WD ,112500.0
1956.0,535426130.0,60.0,RL,70.0,11606.0,Pave,NA,3.0,HLS,4.0,Inside,1.0,NAmes,Norm,Norm,1Fam,2Story,5.0,5.0,1969.0,1969.0,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,3.0,3.0,PConc,4.0,3.0,3.0,3.0,650.0,1.0,0.0,390.0,1040.0,GasA,3.0,1.0,5.0,1040.0,1040.0,0.0,2080.0,0.0,1.0,1.0,2.0,5.0,1.0,2.0,9.0,8.0,2.0,3.0,Attchd,1969.0,1.0,2.0,504.0,3.0,3.0,3.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,9.0,2007.0,WD ,135000.0
